date,open,high,low,close,volume,Name,main_news,tagged_news
2013-03-01,399.2989,403.9736,398.4731,403.4981,4346304,GOOGL,"German Copyright Law Targets Google Links: A bill broadening protections for news publishers was approved by German lawmakers, but critics said the measure did not go far enough.",
2013-03-04,403.0527,411.8314,402.9025,411.1628,5545624,GOOGL,,"Q&A: Making a Phone-to-PC Bluetooth Connection: If both devices are properly equipped, you should be able to connect your smartphone and your Windows 7 computer with Bluetooth link to share files."
2013-03-05,414.8795,420.495,414.8644,419.7213,8079065,GOOGL,,Microsoft Faces Fine in Europe After Breaking a Deal: The fine for failing to give Windows users the choice of competing Web browsers would be the first levied by the European Union for neglecting to comply with a settlement.
2013-03-06,420.93300000000005,422.42199999999997,414.8194,416.1057,5739956,GOOGL,Q&A: Checking a Web Site’s Security: Google Chrome and other browsers can warn you if something does not seem right with a Web site’s security credentials.,
2013-03-07,417.44699999999995,418.7283,415.2048,416.7143,4101301,GOOGL,"In Upgrade, Google Adds to Model for Mobile Marketing: Google is bringing three new brands to its digital advertising initiative, an attempt to get marketers to think of technology as their best asset.",
2013-03-08,417.6673,417.8774,412.9375,416.1758,5817848,GOOGL,,
2013-03-11,416.2608,420.2699,416.1658,417.8274,3186118,GOOGL,"NELL Is a Computer That Reads the Web – With a Little Human Help: The Never-Ending Language Learner is a computer that reads the Web and seeks to understand the meaning of words and phrases in context. The project at Carnegie Mellon University, funded by the Defense Advanced Research Projects Agency and Google, ...","Algorithms Get a Human Hand in Steering Web: Computer algorithms are capable of trading stocks, arranging dates and winning “Jeopardy.” But increasingly, behind the curtain, there is a human helper."
2013-03-12,415.7704,416.3609,412.2468,414.2188,4012146,GOOGL,"Google Concedes That Drive-By Prying Violated Privacy: In agreeing to settle a case brought by 38 states over the Street View mapping project, the company for the first time is required to aggressively police its own workers on privacy issues.","France Proposes New Rules for Internet Equal Access: The government called for a law requiring Internet service providers to give all traffic on their networks equal priority, saying existing rules were insufficient."
2013-03-13,414.3639,415.7603,411.5662,413.0677,3279147,GOOGL,"Daily Report: Google Concedes That Drive-by Prying Violated Privacy: Google acknowledged on Tuesday that it had violated people’s privacy during its Street View mapping project when it casually scooped up passwords, e-mails and other personal information from unsuspecting computer users.",
2013-03-14,413.9085,413.9085,409.1037,411.1808,3298723,GOOGL,"The End of Google Reader Sends Internet Into an Uproar: After Google announced that it will be shutting down Google Reader on July 1, unhappy customers turned to the Internet to protest the closing.",
2013-03-15,409.6592,410.5602,407.0767,407.5582,6191734,GOOGL,Pushing the Boundaries of the Workplace: Google’s East Coast headquarters is an unorthodox workplace with lavish perks that is meant to encourage creativity.,"Pictures From the Week in Business: Mary Jo White drew closer to taking over the Securities and Exchange Commission; European leaders recommitted to austerity measures; and Anna Wintour, longtime editor of Vogue, took on a new role at Condé Nast."
2013-03-18,402.9025,406.7864,401.1357,404.2989,3672831,GOOGL,"Google Executive to Visit Myanmar: Eric Schmidt, the executive chairman of Google, plans to visit Myanmar, one of the last unexploited territory for businesses in Asia.","The Search Engine, for Better or for Worse: There is no reason to consider the Internet immune to destructive uses."
2013-03-19,406.0256,410.0346,403.6282,406.0657,4191219,GOOGL,"Q&A: Logging Out of Gmail From Another Computer: Even if you forget to log out of Gmail from one computer, you can log out of your account on that machine from another computer.",
2013-03-20,408.8234,409.1638,406.1257,407.7614,2924120,GOOGL,Google Hosts Narendra Modi at Tech Summit: The Gujarat chief minister is expected to offer tips on using the Internet in politics.,
2013-03-21,406.0506,408.8671,405.3299,406.0356,2930649,GOOGL,"Executives Press European Antitrust Chief on Google: In a letter, the heads of 11 Web businesses in Europe asked Joaquin Almunia to compel Google to change its business practices so that smaller rivals are not unfairly harmed.",Wheelies: The ‘Top 10’ List Edition: Graham Rahal of the Rahal Letterman Lanigan racing team takes a turn presenting the Top 10 List on “The Late Show.”
2013-03-22,407.7774,408.0276,405.2248,405.5602,2973343,GOOGL,"Q&A: Changing Chrome’s Default Search Engine: You can change the Chrome browser’s default search engine from Google to Bing, Yahoo or another search site of your choosing.",
2013-03-25,406.6112,410.0246,403.8134,405.2248,3410398,GOOGL,,
2013-03-26,407.1567,407.4069,404.2989,406.6162,2381243,GOOGL,,"Q&A: Erasing Saved Web Site Passwords: Most Web browsers let you save user names and passwords for frequently visited sites, but this information can be deleted."
2013-03-27,403.7433,403.9035,401.0657,401.7313,4322068,GOOGL,"Fleeting Thoughts, Captured by Pixels: Introducing the note pad Google Keep, a combination Web site and app for Android phones. Wait, that sounds like Evernote.",Q&A: Adding Subtitles to Videos: On-screen captions and subtitles can be added to videos with tools from YouTube or with movie-editng software.
2013-03-28,402.397,403.0877,397.0466,397.4911,4570853,GOOGL,"If Children Had Google Glass: If you had Google Glass, what would your children do with it?",
2013-04-01,397.9025,401.5261,397.0216,400.9956,3610549,GOOGL,,
2013-04-02,402.6723,407.8224,402.402,406.9265,4078671,GOOGL,Google Faces More Inquiries in Europe Over Privacy Policy: European regulators accused the company of being unclear about its use of personal data across different services.,A NASA Hangout on Rising Seas and Global Warming: A chat with NASA experts on rising seas in a warming world.
