,open,high,low,close,volume,Name
2016-04-19,82.36,82.72,81.34,82.12,932200,ALK
2016-04-20,82.1,82.68,81.53,81.6,1206800,ALK
2016-04-21,81.43,82.09,78.785,79.38,1503900,ALK
2016-04-22,77.6958,78.21,75.73,76.81,2540600,ALK
2016-04-25,76.67,77.21,74.4,74.45,2335200,ALK
2016-04-26,74.57,75.48,73.08,74.35,1803100,ALK
2016-04-27,74.24,75.09,73.53,73.58,1357700,ALK
2016-04-28,73.5,73.585,71.83,72.01,1032700,ALK
2016-04-29,71.56,71.635,70.12,70.43,2065600,ALK
2016-05-02,70.56,71.0,70.28,70.53,1100200,ALK
2016-05-03,70.5,70.9,69.6,70.41,1408800,ALK
2016-05-04,69.68,69.89,68.9,69.1,1263100,ALK
2016-05-05,69.09,70.17,68.94,69.14,1249000,ALK
2016-05-06,68.68,69.02,67.2,68.51,1190400,ALK
2016-05-09,68.97,69.8,68.76,68.8,1278600,ALK
2016-05-10,69.31,69.87,68.8,69.33,935700,ALK
2016-05-11,68.7,69.42,67.41,67.6,3733300,ALK
2016-05-12,68.03,68.14,65.12,65.57,27347100,ALK
2016-05-13,65.72,67.14,65.5,66.26,2238100,ALK
2016-05-16,66.61,67.2,65.27,66.31,2451200,ALK
2016-05-17,66.39,67.28,65.1,65.44,2756600,ALK
2016-05-18,65.49,67.49,65.3,66.42,1734600,ALK
2016-05-19,66.06,66.58,64.43,65.39,1737400,ALK
2016-05-20,65.65,66.27,65.07,65.21,1131800,ALK
2016-05-23,65.54,66.04,65.18,65.34,1269800,ALK
2016-05-24,65.84,67.0,65.79,66.87,1724300,ALK
2016-05-25,66.85,68.0,66.73,66.91,1413800,ALK
2016-05-26,66.77,67.07,65.62,66.14,1347000,ALK
2016-05-27,66.29,67.09,66.16,66.82,1086700,ALK
2016-05-31,66.64,66.82,65.5591,66.4,1329700,ALK
2016-06-01,66.22,66.39,65.7,65.96,1859700,ALK
2016-06-02,65.59,66.51,65.51,65.94,1296100,ALK
2016-06-03,65.9,65.96,64.27,65.08,1672800,ALK
2016-06-06,64.9992,65.25,64.23,65.21,1453500,ALK
2016-06-07,65.0,66.79,65.0,66.33,1813200,ALK
2016-06-08,66.31,67.43,66.06,66.39,1553300,ALK
2016-06-09,66.39,67.95,66.39,67.5,2062500,ALK
2016-06-10,66.9,67.51,66.34,66.92,1117800,ALK
2016-06-13,66.31,66.477,64.22,64.29,1481900,ALK
2016-06-14,63.91,64.26,60.9981,61.52,2078500,ALK
2016-06-15,61.62,63.21,60.97,61.16,2381200,ALK
2016-06-16,60.74,61.18,60.03,60.37,1750200,ALK
2016-06-17,60.31,60.65,59.48,59.88,2438000,ALK
2016-06-20,60.53,60.7,59.32,59.48,1786800,ALK
2016-06-21,60.1111,61.43,59.79,60.46,1842700,ALK
2016-06-22,60.46,61.08,59.6,59.68,1331300,ALK
2016-06-23,60.35,60.469,58.74,59.14,1764500,ALK
2016-06-24,57.0207,58.235,56.29,56.49,3622400,ALK
2016-06-27,55.55,55.895,54.51,55.66,3100800,ALK
2016-06-28,56.55,56.92,55.33,56.71,1969300,ALK
2016-06-29,57.14,58.07,56.88,57.69,1878600,ALK
2016-06-30,57.95,58.29,57.2999,58.29,1792100,ALK
2016-07-01,58.24,59.06,58.05,58.74,1421500,ALK
2016-07-05,58.56,58.745,57.6042,58.63,1352300,ALK
2016-07-06,57.87,58.585,56.45,58.54,2203500,ALK
2016-07-07,58.37,59.935,58.31,59.47,1228500,ALK
2016-07-08,59.72,60.54,59.72,59.86,2276400,ALK
2016-07-11,60.17,60.725,59.9,60.16,1519400,ALK
2016-07-12,61.27,63.4519,61.19,63.25,2451400,ALK
2016-07-13,63.84,64.0,62.71,63.17,1772100,ALK
2016-07-14,63.71,64.89,63.29,64.86,2132100,ALK
2016-07-15,64.67,65.19,64.21,65.04,2810000,ALK
2016-07-18,64.92,65.45,64.184,64.24,1430600,ALK
2016-07-19,63.84,64.115,63.1561,63.87,1253200,ALK
2016-07-20,64.03,64.21,63.231,63.49,1918300,ALK
2016-07-21,62.95,65.53,61.61,64.71,2829200,ALK
2016-07-22,65.17,65.55,64.3,64.6,1784800,ALK
2016-07-25,65.65,66.15,65.01,65.4,1580600,ALK
2016-07-26,65.66,66.58,64.89,66.53,1535100,ALK
2016-07-27,67.8,68.01,67.01,67.87,2404700,ALK
2016-07-28,67.7,68.55,67.47,68.46,1845900,ALK
2016-07-29,68.44,68.8508,67.172,67.22,2003100,ALK
2016-08-01,67.35,67.68,66.65,67.65,1317600,ALK
2016-08-02,67.23,67.36,64.67,64.89,2138800,ALK
2016-08-03,64.65,65.568,64.5,65.1,1055400,ALK
2016-08-04,65.14,65.31,64.51,65.1,915600,ALK
2016-08-05,65.56,66.41,65.401,66.23,962200,ALK
2016-08-08,66.1,66.36,65.53,65.86,941000,ALK
2016-08-09,66.16,66.36,64.93,64.99,1032100,ALK
2016-08-10,64.96,65.06,64.25,64.84,958000,ALK
2016-08-11,65.53,66.61,65.47,66.11,1269700,ALK
2016-08-12,65.89,66.24,65.3307,65.38,577400,ALK
2016-08-15,65.54,66.46,65.05,66.12,814600,ALK
2016-08-16,65.69,66.4,65.36,66.0,819500,ALK
2016-08-17,65.97,67.37,65.78,67.35,1514200,ALK
2016-08-18,67.2,67.9113,66.73,67.7,2154300,ALK
2016-08-19,67.29,67.72,66.7036,67.07,1094600,ALK
2016-08-22,66.8,67.0738,66.355,66.86,789200,ALK
2016-08-23,67.14,67.88,66.95,67.35,839500,ALK
2016-08-24,67.18,68.3,67.18,67.92,840800,ALK
2016-08-25,67.72,68.48,67.6813,68.34,1027200,ALK
2016-08-26,68.19,68.33,67.01,67.27,956700,ALK
2016-08-29,67.31,67.62,66.96,67.04,901300,ALK
2016-08-30,67.12,68.329,66.73,67.55,1461600,ALK
2016-08-31,67.43,67.865,66.5,67.53,1122900,ALK
2016-09-01,67.81,68.44,67.08,67.26,915900,ALK
2016-09-02,67.26,68.25,67.26,68.21,692600,ALK
2016-09-06,68.25,69.01,68.02,69.0,1030000,ALK
2016-09-07,69.28,71.3,69.27,71.03,1738800,ALK
2016-09-08,70.86,71.63,70.78,71.32,1437900,ALK
2016-09-09,70.96,71.09,68.86,68.86,1359300,ALK
2016-09-12,68.35,70.0,67.69,69.79,1170800,ALK
2016-09-13,69.57,70.29,68.15,68.32,1381500,ALK
2016-09-14,68.25,68.44,66.53,66.65,1305500,ALK
2016-09-15,66.5814,67.4,65.96,66.81,1184700,ALK
2016-09-16,66.56,66.87,65.63,65.7,1140400,ALK
2016-09-19,65.8,66.57,65.56,65.69,1231800,ALK
2016-09-20,65.9,66.27,65.49,65.5,551100,ALK
2016-09-21,65.83,66.91,65.2508,66.7,1320900,ALK
2016-09-22,67.05,67.98,65.58,66.04,2125700,ALK
2016-09-23,65.7408,66.63,65.36,65.77,2330700,ALK
2016-09-26,65.62,65.69,64.19,64.6,1410300,ALK
