,open,high,low,close,volume,Name
2017-11-07,80.66,80.83,78.9,79.38,1261600,AAP
2017-11-08,79.2,80.62,78.81,79.41,3233400,AAP
2017-11-09,79.5624,81.09,79.14,80.45,1898500,AAP
2017-11-10,80.16,81.99,80.0,81.22,1942400,AAP
2017-11-13,80.72,82.82,80.46,82.28,3894500,AAP
2017-11-14,94.88,102.8942,94.75,95.72,10153800,AAP
2017-11-15,93.93,95.49,91.37,91.58,3074000,AAP
2017-11-16,92.0,92.77,89.24,90.5,2289000,AAP
2017-11-17,91.02,91.44,89.13,89.27,1549200,AAP
2017-11-20,89.21,91.68,88.24,91.43,1498100,AAP
2017-11-21,90.94,90.95,88.9,88.93,1610700,AAP
2017-11-22,89.2,90.31,88.82,89.62,907700,AAP
2017-11-24,89.64,89.9,88.96,89.23,523500,AAP
2017-11-27,89.61,90.784,89.04,89.87,858800,AAP
2017-11-28,89.89,92.91,89.63,92.84,1145400,AAP
2017-11-29,93.96,100.37,93.405,99.95,3895200,AAP
2017-11-30,99.58,101.65,98.67,101.0,2353900,AAP
2017-12-01,100.74,100.97,97.89,99.28,2252900,AAP
2017-12-04,100.94,105.2,100.7576,104.02,2225100,AAP
2017-12-05,107.1,107.79,100.02,101.15,2462400,AAP
2017-12-06,100.87,101.42,97.47,97.5,1285800,AAP
2017-12-07,97.75,98.37,96.57,97.61,1171700,AAP
2017-12-08,98.21,100.62,97.38,100.31,925600,AAP
2017-12-11,100.15,101.6686,99.11,100.85,1490300,AAP
2017-12-12,101.71,105.56,101.71,103.03,2442400,AAP
2017-12-13,103.63,103.72,101.86,102.5,1093100,AAP
2017-12-14,103.23,103.9,99.771,100.2,1111400,AAP
2017-12-15,100.84,101.72,100.17,100.7,1617000,AAP
2017-12-18,101.34,103.1,100.65,102.71,844800,AAP
2017-12-19,102.45,102.863,99.39,99.73,1333500,AAP
2017-12-20,100.03,100.91,98.03,98.59,1081700,AAP
2017-12-21,98.51,100.52,98.2,100.13,1090000,AAP
2017-12-22,100.64,100.834,99.71,100.55,1257600,AAP
2017-12-26,100.8,102.7417,100.65,101.96,565100,AAP
2017-12-27,101.72,101.72,99.4,99.77,988500,AAP
2017-12-28,99.86,99.91,98.17,99.71,604600,AAP
2017-12-29,99.85,100.99,99.5,99.69,969200,AAP
2018-01-02,100.9,107.93,99.71,106.09,2624500,AAP
2018-01-03,106.42,107.66,105.3,107.05,2086800,AAP
2018-01-04,107.75,111.529,107.48,111.0,2104500,AAP
2018-01-05,111.9531,113.15,110.3,112.18,1996700,AAP
2018-01-08,112.05,112.29,110.64,111.39,1257100,AAP
2018-01-09,111.69,111.69,109.81,110.49,1091400,AAP
2018-01-10,110.27,112.0,109.79,110.59,711200,AAP
2018-01-11,110.7,113.42,108.9,112.95,1015900,AAP
2018-01-12,114.38,116.05,113.02,115.94,1579100,AAP
2018-01-16,116.76,116.84,112.86,113.9,1498100,AAP
2018-01-17,114.74,116.24,112.98,115.35,1354200,AAP
