date,open,high,low,close,volume,main_news
2013-03-28,402.397,403.0877,397.0466,397.4911,4570853,"If Children Had Google Glass: If you had Google Glass, what would your children do with it?"
2013-04-01,397.9025,401.5261,397.0216,400.9956,3610549,
2013-04-02,402.6723,407.8224,402.402,406.9265,4078671,Google Faces More Inquiries in Europe Over Privacy Policy: European regulators accused the company of being unclear about its use of personal data across different services.
2013-04-03,407.1367,407.5071,400.7343,403.5041,3473233,"In Search, Google Still Leads: Google still holds by far the largest share of traditional search engine traffic."
2013-04-04,402.5271,403.2779,396.0457,397.9325,4889914,"As Web Search Goes Mobile, Competitors Chip at Google’s Lead: Though Google is the undisputed king of search, alternative services are chipping into its share of the market."
2013-04-05,393.423,393.8885,388.5882,391.9165,6860927,"Q&A: Cleaning Up Outdated Gmail Contacts: If Gmail keeps suggesting outdated addresses when you address a new message, it may be time to clean up your Gmail contacts list."
2013-04-08,389.7644,390.1648,384.5842,387.8124,5658378,"In Europe, New Protest Over Google: European antitrust officials have received a formal complaint from Google’s rivals about its Android mobile operating system."
2013-04-09,388.1377,392.2669,386.9416,389.2138,4310166,"World’s Tech Companies Look to Brussels to Resolve Antitrust Complaints: As the European competition chief appears near the end of settlement talks with Google over its search business, he must decide whether to take up a new complaint about its mobile business."
2013-04-10,391.8515,396.5712,388.388,395.4851,3953171,Subway on Way? Maps Tell You: Google Maps has added information on public transportation in several cities.
2013-04-11,396.8364,396.9466,392.422,395.5902,4053279,
2013-04-12,396.391,396.4471,391.8565,395.42,3269389,
2013-04-15,393.368,398.8985,388.8985,391.356,4900346,Europeans Reach Deal With Google on Searches: Google has for the first time agreed to legally binding changes to its search results after an antitrust investigation by European regulators.
2013-04-16,393.6883,398.398,392.352,397.0817,3480468,"Google Emulates Apple in Restricting Apps for Glass: In a departure from previous products like Android, Google has set extensive limits on the apps developed for its Internet-connected glasses."
2013-04-17,393.7684,395.8179,389.4391,391.6713,4069487,
2013-04-18,393.0677,393.2929,381.0107,383.34,6601455,"Google, Soothing Investors, Plays Up Its Innovations: Analysts pointed to Google’s mobile business as a weakness because consumers are rapidly shifting from computer use to mobile devices."
2013-04-19,384.9646,402.1217,383.5131,400.3349,11593628,
2013-04-22,400.7003,402.381,387.8875,400.4571,5760454,"Germany Fines Google Over Data Collection: The 145,000-euro levy, the equivalent of about $189,000, was called woefully inadequate to assure compliance by a company with $10.7 billion in 2012 profit."
2013-04-23,400.9005,408.1578,400.5802,404.3539,4579994,"Daily Report: Europe’s Biggest Privacy Fine Is Pocket Change to Google: German regulators fined Google $189,225, a tiny fraction of its $10.7 billion profit last year, for violating privacy laws with its Street View project, Claire Cain Miller reports in The New York Times."
2013-04-24,404.4591,409.409,404.404,407.1337,3654448,
2013-04-25,408.5331,408.6432,404.2188,404.9545,3980422,Europe Nears Antitrust Deal With Google Over Web Searches: The European Commission said it had begun “market testing” intended to determine whether the proposed remedies address complaints that Google favors its own products in search results.
2013-04-26,404.2038,404.2739,398.6883,401.1107,4970304,"Google Search Terms Can Predict Stock Market, Study Finds: A new study found that by tracking certain search terms in Google Trends, researchers could predict whether the Dow Jones industrial average would rise or fall the following week."
2013-04-29,402.0266,411.7613,401.9015,409.9395,4595912,"TimesTalks | ‘New Digital Age’: Preview: Google’s Eric Schmidt and Jared Cohen speak with The Times’s David Carr about their book, which examines the impact of technology on society in the future."
2013-04-30,409.9095,414.2338,409.2488,412.6973,4608663,
2013-05-01,412.0416,412.7724,408.5882,410.6252,2906961,A Google Duo and a Media Maven Explore a Hyper-Connected Planet: A brisk chat between Googlers and a media maven about the emerging Knowosphere.
2013-05-02,410.4601,417.6923,409.9345,415.2198,4032460,Lending Web Site Gains a Shareholder in Google: Lending Club plans to announce that Google led a $125 million deal to buy a stake in the company from existing investors.
2013-05-03,418.8985,423.8234,418.418,423.2829,5019702,"Shine Starts to Wear Off a Little for Google Glass: Let the backlash begin for Google Glass amid privacy concerns and a fear by the mainstream that the new, high-tech glasses are just too geeky."
2013-05-06,424.5541,431.3559,424.5541,431.2058,4278140,"Europe Rules Against Patent Move by Google’s Motorola Unit: The European Union on Monday made a preliminary antitrust finding against Motorola Mobility, saying it had abused its dominance in wireless patents by seeking an injunction against Apple in Germany."
