,open,high,low,close,volume,Name
2017-01-30,177.25,177.73,174.87,175.42,1823100,MMM
2017-01-31,174.74,175.46,173.81,174.82,1845500,MMM
2017-02-01,175.162,175.8,174.3,175.17,2272900,MMM
2017-02-02,174.13,174.775,173.55,174.18,3106800,MMM
2017-02-03,174.02,175.3,173.85,175.04,2820500,MMM
2017-02-06,174.12,176.2,173.9,175.1,1622800,MMM
2017-02-07,176.08,176.4,175.154,175.76,1247400,MMM
2017-02-08,175.62,177.6,175.49,177.07,2145700,MMM
2017-02-09,176.87,178.55,176.8835,178.18,2009700,MMM
2017-02-10,178.3003,179.58,178.19,179.0,1392400,MMM
2017-02-13,179.86,181.38,179.26,181.02,1929800,MMM
2017-02-14,180.86,182.0,180.65,181.6,2035900,MMM
2017-02-15,180.2893,181.833,180.151,181.7,1762900,MMM
2017-02-16,181.75,183.46,181.615,183.41,2164000,MMM
2017-02-17,183.43,183.6,182.53,182.95,1961500,MMM
2017-02-21,182.79,183.62,182.04,183.37,1736300,MMM
2017-02-22,183.4,186.12,183.08,186.04,2850900,MMM
2017-02-23,185.91,187.455,185.71,187.19,2401600,MMM
2017-02-24,186.82,188.41,186.3,187.41,2126300,MMM
2017-02-27,187.5,187.55,186.375,186.91,1393800,MMM
2017-02-28,186.73,187.5,186.31,186.35,1932100,MMM
2017-03-01,188.08,190.54,188.01,189.86,2226200,MMM
2017-03-02,189.46,190.1,189.03,189.89,1764000,MMM
2017-03-03,189.85,190.24,188.5673,189.31,1627400,MMM
2017-03-06,188.93,189.24,188.27,188.9,1668700,MMM
2017-03-07,188.29,189.26,188.25,189.09,1662300,MMM
2017-03-08,189.72,190.206,188.97,189.51,1563700,MMM
2017-03-09,189.25,190.39,189.17,189.9,1556700,MMM
2017-03-10,190.64,191.24,190.031,191.21,2515000,MMM
2017-03-13,191.77,191.96,190.46,191.52,1972700,MMM
2017-03-14,190.93,191.44,189.11,190.33,1893600,MMM
2017-03-15,190.18,191.86,189.72,191.2,2047000,MMM
2017-03-16,191.06,191.64,189.638,190.31,1937100,MMM
